acc_test,L_test,Loss_train,acc_train,it
  49.7400,   1.3996,   1.3490,  51.6732,0
  61.6800,   1.1754,   1.0740,  64.6905,1
  69.9400,   0.9072,   0.7119,  75.1695,2
  63.6600,   1.2225,   0.9202,  69.9110,3
  78.0900,   0.6721,   0.2898,  89.8850,4
  71.0200,   1.0610,   0.4499,  84.5725,5
  77.3000,   0.8338,   0.2004,  92.8053,6
  74.2100,   1.1876,   0.3770,  88.6169,7
  76.8400,   0.9769,   0.1401,  95.0695,8
  78.8000,   0.9372,   0.1155,  95.9276,9
  75.6700,   1.1832,   0.1917,  93.4893,10
  80.3700,   0.8949,   0.0428,  98.4898,11
  82.4400,   0.8126,   0.0157,  99.4579,12
  83.0300,   0.8469,   0.0050,  99.8780,13
  84.2600,   0.7673,   0.0006,  99.9920,14
  83.6600,   0.8174,   0.0023,  99.9580,15
  84.5300,   0.7853,   0.0002, 100.0000,16
  84.7400,   0.7708,   0.0001,  99.9980,17
  84.8500,   0.7743,   0.0001, 100.0000,18
  84.8100,   0.7682,   0.0001, 100.0000,19
  84.9800,   0.7789,   0.0001, 100.0000,20
  84.8100,   0.7849,   0.0000, 100.0000,21
  84.7900,   0.7811,   0.0000, 100.0000,22
  84.7500,   0.7777,   0.0000, 100.0000,23
  84.7100,   0.7867,   0.0000, 100.0000,24
  84.9200,   0.7832,   0.0000, 100.0000,25
  84.8200,   0.7873,   0.0000, 100.0000,26
  85.0000,   0.7920,   0.0000, 100.0000,27
  84.8200,   0.7920,   0.0000, 100.0000,28
  84.8600,   0.7879,   0.0000, 100.0000,29
  84.8200,   0.7948,   0.0000, 100.0000,30
  84.7900,   0.7936,   0.0000, 100.0000,31
  84.7800,   0.7965,   0.0000, 100.0000,32
  84.5500,   0.8205,   0.0000, 100.0000,33
  84.8400,   0.7992,   0.0000, 100.0000,34
  84.7400,   0.7975,   0.0000, 100.0000,35
  84.9300,   0.7938,   0.0000, 100.0000,36
  84.8300,   0.7944,   0.0000, 100.0000,37
  84.7400,   0.8000,   0.0000, 100.0000,38
  84.9600,   0.7987,   0.0000, 100.0000,39
  84.8600,   0.8015,   0.0000, 100.0000,40
  84.8200,   0.8030,   0.0000, 100.0000,41
  84.9700,   0.8037,   0.0000, 100.0000,42
  84.8600,   0.8068,   0.0000, 100.0000,43
  84.8800,   0.8002,   0.0000, 100.0000,44
  84.9500,   0.8037,   0.0000, 100.0000,45
  84.9800,   0.8035,   0.0000, 100.0000,46
  84.8600,   0.8076,   0.0000, 100.0000,47
  84.9300,   0.8086,   0.0000, 100.0000,48
  84.8600,   0.8109,   0.0000, 100.0000,49
  84.9300,   0.8112,   0.0000, 100.0000,50
  85.0000,   0.8156,   0.0000, 100.0000,51
  84.8600,   0.8127,   0.0000, 100.0000,52
  84.9800,   0.8089,   0.0000, 100.0000,53
  84.8500,   0.8122,   0.0000, 100.0000,54
  84.8600,   0.8118,   0.0000, 100.0000,55
  84.8700,   0.8118,   0.0000, 100.0000,56
  84.9300,   0.8141,   0.0000, 100.0000,57
  84.8300,   0.8155,   0.0000, 100.0000,58
  85.0000,   0.8142,   0.0000, 100.0000,59
  84.9600,   0.8189,   0.0000, 100.0000,60
  84.9400,   0.8164,   0.0000, 100.0000,61
  84.9400,   0.8157,   0.0000, 100.0000,62
  84.9800,   0.8104,   0.0000, 100.0000,63
  84.9400,   0.8209,   0.0000, 100.0000,64
  85.0800,   0.8211,   0.0000, 100.0000,65
  84.9000,   0.8187,   0.0000, 100.0000,66
  84.8400,   0.8185,   0.0000, 100.0000,67
  84.8900,   0.8152,   0.0000, 100.0000,68
  84.9700,   0.8187,   0.0000, 100.0000,69
  84.9900,   0.8169,   0.0000, 100.0000,70
  84.9500,   0.8204,   0.0000, 100.0000,71
  85.0400,   0.8203,   0.0000, 100.0000,72
  84.9800,   0.8237,   0.0000, 100.0000,73
  84.9900,   0.8195,   0.0000, 100.0000,74
  84.8600,   0.8250,   0.0000, 100.0000,75
  84.9800,   0.8249,   0.0000, 100.0000,76
  84.8400,   0.8257,   0.0000, 100.0000,77
  84.9400,   0.8198,   0.0000, 100.0000,78
  85.1600,   0.8238,   0.0000, 100.0000,79
  85.0200,   0.8255,   0.0000, 100.0000,80
  85.0100,   0.8235,   0.0000, 100.0000,81
  84.8600,   0.8256,   0.0000, 100.0000,82
  84.8900,   0.8213,   0.0000, 100.0000,83
  85.0600,   0.8276,   0.0000, 100.0000,84
  84.9700,   0.8281,   0.0000, 100.0000,85
  85.0000,   0.8253,   0.0000, 100.0000,86
  84.8400,   0.8264,   0.0000, 100.0000,87
  85.0400,   0.8279,   0.0000, 100.0000,88
  85.0000,   0.8258,   0.0000, 100.0000,89
  84.9300,   0.8239,   0.0000, 100.0000,90
  84.9500,   0.8281,   0.0000, 100.0000,91
  84.8900,   0.8305,   0.0000, 100.0000,92
  84.9700,   0.8241,   0.0000, 100.0000,93
  85.0700,   0.8282,   0.0000, 100.0000,94
  85.0500,   0.8361,   0.0000, 100.0000,95
  84.9800,   0.8300,   0.0000, 100.0000,96
  84.9000,   0.8265,   0.0000, 100.0000,97
  84.8900,   0.8267,   0.0000, 100.0000,98
  84.8200,   0.8318,   0.0000, 100.0000,99
  85.0700,   0.8298,   0.0000, 100.0000,100
  84.9100,   0.8269,   0.0000, 100.0000,101
  84.9100,   0.8297,   0.0000, 100.0000,102
  84.9200,   0.8284,   0.0000, 100.0000,103
  84.9900,   0.8282,   0.0000, 100.0000,104
  85.0300,   0.8269,   0.0000, 100.0000,105
  85.0500,   0.8312,   0.0000, 100.0000,106
  84.9600,   0.8364,   0.0000, 100.0000,107
  84.9700,   0.8325,   0.0000, 100.0000,108
  85.0400,   0.8263,   0.0000, 100.0000,109
  84.9700,   0.8278,   0.0000, 100.0000,110
  85.0500,   0.8336,   0.0000, 100.0000,111
  84.9600,   0.8338,   0.0000, 100.0000,112
  84.8800,   0.8315,   0.0000, 100.0000,113
  84.9400,   0.8318,   0.0000, 100.0000,114
  84.8700,   0.8360,   0.0000, 100.0000,115
  85.0700,   0.8313,   0.0000, 100.0000,116
  85.1900,   0.8334,   0.0000, 100.0000,117
  84.9300,   0.8349,   0.0000, 100.0000,118
  84.9200,   0.8345,   0.0000, 100.0000,119
  84.9500,   0.8328,   0.0000, 100.0000,120
  84.9600,   0.8305,   0.0000, 100.0000,121
  84.9500,   0.8313,   0.0000, 100.0000,122
  85.0500,   0.8334,   0.0000, 100.0000,123
  84.9600,   0.8344,   0.0000, 100.0000,124
  85.1000,   0.8310,   0.0000, 100.0000,125
  85.0400,   0.8358,   0.0000, 100.0000,126
  85.0600,   0.8320,   0.0000, 100.0000,127
  84.9200,   0.8279,   0.0000, 100.0000,128
  84.8900,   0.8306,   0.0000, 100.0000,129
  84.9500,   0.8348,   0.0000, 100.0000,130
  84.8800,   0.8313,   0.0000, 100.0000,131
  85.0100,   0.8324,   0.0000, 100.0000,132
  85.0200,   0.8309,   0.0000, 100.0000,133
  85.0100,   0.8353,   0.0000, 100.0000,134
  84.9000,   0.8368,   0.0000, 100.0000,135
  85.0300,   0.8374,   0.0000, 100.0000,136
  84.9500,   0.8328,   0.0000, 100.0000,137
  84.9900,   0.8394,   0.0000, 100.0000,138
  84.9800,   0.8357,   0.0000, 100.0000,139
  84.7700,   0.8392,   0.0000, 100.0000,140
  85.0000,   0.8337,   0.0000, 100.0000,141
  85.0000,   0.8347,   0.0000, 100.0000,142
  84.9400,   0.8355,   0.0000, 100.0000,143
  84.8900,   0.8359,   0.0000, 100.0000,144
  85.0000,   0.8354,   0.0000, 100.0000,145
  84.9800,   0.8364,   0.0000, 100.0000,146
  84.9400,   0.8336,   0.0000, 100.0000,147
  84.9200,   0.8300,   0.0000, 100.0000,148
