acc_test,L_test,Loss_train,acc_train,it
  36.8000,   1.7216,   1.6939,  37.3500,0
  47.7300,   1.5129,   1.4444,  49.0600,1
  45.1300,   1.9465,   1.8108,  47.7600,2
  58.8000,   1.2643,   1.0230,  65.2125,3
  63.0300,   1.1893,   0.8058,  72.4575,4
  57.5900,   1.4376,   0.9316,  67.7800,5
  73.7300,   0.7779,   0.3008,  90.3075,6
  73.0300,   0.8196,   0.2767,  91.4075,7
  76.9900,   0.7295,   0.1353,  96.2175,8
  77.4300,   0.7186,   0.1069,  97.1775,9
  75.8600,   0.8741,   0.1305,  95.7850,10
  79.1500,   0.7791,   0.0507,  98.6325,11
  80.7000,   0.7168,   0.0181,  99.7350,12
  78.8900,   0.8979,   0.0493,  98.4850,13
  80.7000,   0.7333,   0.0143,  99.7975,14
  80.6400,   0.7836,   0.0180,  99.6500,15
  78.4500,   0.9447,   0.0445,  98.5725,16
  80.7600,   0.8180,   0.0222,  99.4500,17
  81.4700,   0.7926,   0.0079,  99.8750,18
  81.8000,   0.7897,   0.0046,  99.9175,19
  82.6600,   0.7514,   0.0013,  99.9825,20
  82.7800,   0.7705,   0.0008,  99.9900,21
  82.8900,   0.7716,   0.0006,  99.9900,22
  82.9100,   0.7776,   0.0003,  99.9950,23
  83.0000,   0.7809,   0.0003,  99.9950,24
  83.0300,   0.7822,   0.0002, 100.0000,25
  83.0300,   0.7870,   0.0003,  99.9925,26
  83.0200,   0.7923,   0.0002,  99.9950,27
  82.8500,   0.7952,   0.0002, 100.0000,28
  82.8500,   0.7990,   0.0001, 100.0000,29
  82.9600,   0.8052,   0.0002,  99.9975,30
  83.0200,   0.8082,   0.0003,  99.9900,31
  82.8400,   0.8107,   0.0002,  99.9950,32
  82.9500,   0.8135,   0.0001, 100.0000,33
  82.8500,   0.8144,   0.0001, 100.0000,34
  82.9500,   0.8144,   0.0001, 100.0000,35
  82.9300,   0.8203,   0.0001, 100.0000,36
  82.8700,   0.8223,   0.0001, 100.0000,37
  82.9200,   0.8226,   0.0001, 100.0000,38
  82.8500,   0.8289,   0.0002,  99.9975,39
  82.7800,   0.8287,   0.0001,  99.9975,40
  82.9600,   0.8304,   0.0002,  99.9975,41
  82.9500,   0.8298,   0.0001,  99.9975,42
  82.9200,   0.8364,   0.0001, 100.0000,43
  82.9000,   0.8359,   0.0001, 100.0000,44
  82.8900,   0.8370,   0.0001,  99.9975,45
  82.9700,   0.8421,   0.0001, 100.0000,46
  83.0300,   0.8394,   0.0001, 100.0000,47
  82.9400,   0.8409,   0.0001, 100.0000,48
  82.9800,   0.8418,   0.0001, 100.0000,49
  82.9700,   0.8440,   0.0001, 100.0000,50
  82.9100,   0.8424,   0.0001, 100.0000,51
  82.8700,   0.8479,   0.0000, 100.0000,52
  82.9700,   0.8496,   0.0001, 100.0000,53
  82.9900,   0.8497,   0.0000, 100.0000,54
  82.9300,   0.8499,   0.0000, 100.0000,55
  82.9700,   0.8520,   0.0000, 100.0000,56
  82.9400,   0.8521,   0.0000, 100.0000,57
  82.9400,   0.8521,   0.0001, 100.0000,58
  82.8500,   0.8564,   0.0000, 100.0000,59
  82.9500,   0.8530,   0.0001, 100.0000,60
  82.9300,   0.8570,   0.0000, 100.0000,61
  82.9300,   0.8607,   0.0000, 100.0000,62
  82.8800,   0.8591,   0.0000, 100.0000,63
  83.0700,   0.8586,   0.0000, 100.0000,64
  82.9800,   0.8624,   0.0000, 100.0000,65
  83.0600,   0.8579,   0.0000, 100.0000,66
  82.9300,   0.8613,   0.0000, 100.0000,67
  82.9200,   0.8610,   0.0000, 100.0000,68
  82.8800,   0.8648,   0.0000, 100.0000,69
  82.9900,   0.8633,   0.0000, 100.0000,70
  82.9600,   0.8653,   0.0000, 100.0000,71
  82.9900,   0.8637,   0.0000, 100.0000,72
  82.9200,   0.8644,   0.0000, 100.0000,73
  82.9600,   0.8656,   0.0000, 100.0000,74
  82.8700,   0.8658,   0.0000, 100.0000,75
  82.9100,   0.8688,   0.0000, 100.0000,76
  82.9800,   0.8681,   0.0000, 100.0000,77
  82.9100,   0.8690,   0.0000, 100.0000,78
  83.0500,   0.8715,   0.0000, 100.0000,79
  82.9700,   0.8711,   0.0000, 100.0000,80
  82.9700,   0.8719,   0.0000, 100.0000,81
  82.9500,   0.8679,   0.0000, 100.0000,82
  83.0200,   0.8742,   0.0000, 100.0000,83
  82.9000,   0.8751,   0.0000, 100.0000,84
  83.0500,   0.8746,   0.0000, 100.0000,85
  83.0100,   0.8748,   0.0000, 100.0000,86
  82.9500,   0.8738,   0.0000, 100.0000,87
  82.8300,   0.8735,   0.0000, 100.0000,88
  82.9000,   0.8804,   0.0000, 100.0000,89
  82.9300,   0.8775,   0.0000, 100.0000,90
  82.9400,   0.8795,   0.0000, 100.0000,91
  82.9600,   0.8798,   0.0000, 100.0000,92
  83.0200,   0.8793,   0.0000, 100.0000,93
  82.9400,   0.8786,   0.0000, 100.0000,94
  83.0300,   0.8825,   0.0000, 100.0000,95
  82.9200,   0.8820,   0.0000, 100.0000,96
  83.0300,   0.8781,   0.0000, 100.0000,97
  83.0800,   0.8802,   0.0000, 100.0000,98
  83.0600,   0.8804,   0.0000, 100.0000,99
  83.0600,   0.8784,   0.0000, 100.0000,100
  82.8900,   0.8808,   0.0000, 100.0000,101
  83.0400,   0.8826,   0.0000, 100.0000,102
  83.0900,   0.8839,   0.0000, 100.0000,103
  83.0000,   0.8862,   0.0000, 100.0000,104
  82.9300,   0.8825,   0.0000, 100.0000,105
  83.0400,   0.8829,   0.0000, 100.0000,106
  83.0900,   0.8850,   0.0000, 100.0000,107
  83.0300,   0.8845,   0.0000, 100.0000,108
  82.9800,   0.8889,   0.0000, 100.0000,109
  82.8500,   0.8886,   0.0000, 100.0000,110
  82.9800,   0.8846,   0.0000, 100.0000,111
  82.9200,   0.8863,   0.0000, 100.0000,112
  82.9700,   0.8851,   0.0000, 100.0000,113
  82.9700,   0.8850,   0.0000, 100.0000,114
  82.9300,   0.8861,   0.0000, 100.0000,115
  83.0200,   0.8835,   0.0000, 100.0000,116
  83.0000,   0.8829,   0.0000, 100.0000,117
  83.0100,   0.8873,   0.0000, 100.0000,118
  83.0400,   0.8889,   0.0000, 100.0000,119
  82.9800,   0.8880,   0.0000, 100.0000,120
  82.9500,   0.8848,   0.0000, 100.0000,121
  83.0200,   0.8917,   0.0000, 100.0000,122
  82.9100,   0.8878,   0.0000, 100.0000,123
  82.9500,   0.8850,   0.0000, 100.0000,124
  83.0500,   0.8901,   0.0000, 100.0000,125
  83.0100,   0.8895,   0.0000, 100.0000,126
  82.9600,   0.8912,   0.0000, 100.0000,127
  82.9900,   0.8901,   0.0000, 100.0000,128
  82.9500,   0.8865,   0.0000, 100.0000,129
  83.0500,   0.8899,   0.0000, 100.0000,130
  83.0600,   0.8900,   0.0000, 100.0000,131
  82.9600,   0.8870,   0.0000, 100.0000,132
  83.0200,   0.8897,   0.0000, 100.0000,133
  82.9300,   0.8878,   0.0000, 100.0000,134
  82.8900,   0.8913,   0.0000, 100.0000,135
  83.0900,   0.8905,   0.0000, 100.0000,136
  83.0300,   0.8914,   0.0000, 100.0000,137
  82.9500,   0.8919,   0.0000, 100.0000,138
  83.0100,   0.8911,   0.0000, 100.0000,139
  82.9700,   0.8896,   0.0000, 100.0000,140
  82.9800,   0.8897,   0.0000, 100.0000,141
  82.9300,   0.8885,   0.0000, 100.0000,142
  82.9800,   0.8891,   0.0000, 100.0000,143
  83.0400,   0.8936,   0.0000, 100.0000,144
  82.9600,   0.8911,   0.0000, 100.0000,145
  83.0500,   0.8900,   0.0000, 100.0000,146
  83.0000,   0.8913,   0.0000, 100.0000,147
  82.9900,   0.8909,   0.0000, 100.0000,148
  83.0300,   0.8908,   0.0000, 100.0000,149
  82.9100,   0.8900,   0.0000, 100.0000,150
  83.0500,   0.8886,   0.0000, 100.0000,151
  83.0700,   0.8889,   0.0000, 100.0000,152
  82.9500,   0.8905,   0.0000, 100.0000,153
  83.0000,   0.8918,   0.0000, 100.0000,154
  82.9500,   0.8887,   0.0000, 100.0000,155
  83.0300,   0.8936,   0.0000, 100.0000,156
  83.0800,   0.8941,   0.0000, 100.0000,157
  82.9500,   0.8919,   0.0000, 100.0000,158
  82.9700,   0.8917,   0.0000, 100.0000,159
  83.0800,   0.8928,   0.0000, 100.0000,160
  82.9900,   0.8933,   0.0000, 100.0000,161
  82.9700,   0.8921,   0.0000, 100.0000,162
  83.0000,   0.8954,   0.0000, 100.0000,163
  83.0000,   0.8919,   0.0000, 100.0000,164
  83.0000,   0.8965,   0.0000, 100.0000,165
  82.9800,   0.8925,   0.0000, 100.0000,166
  83.0200,   0.8936,   0.0000, 100.0000,167
  82.9700,   0.8917,   0.0000, 100.0000,168
  83.0000,   0.8929,   0.0000, 100.0000,169
  83.0300,   0.8897,   0.0000, 100.0000,170
  82.9500,   0.8926,   0.0000, 100.0000,171
  83.0500,   0.8929,   0.0000, 100.0000,172
  82.9800,   0.8905,   0.0000, 100.0000,173
  82.9700,   0.8946,   0.0000, 100.0000,174
  82.9400,   0.8923,   0.0000, 100.0000,175
  83.0000,   0.8946,   0.0000, 100.0000,176
  83.0800,   0.8951,   0.0000, 100.0000,177
  83.0000,   0.8921,   0.0000, 100.0000,178
  83.0700,   0.8935,   0.0000, 100.0000,179
  83.0100,   0.8948,   0.0000, 100.0000,180
  82.9800,   0.8907,   0.0000, 100.0000,181
  83.0700,   0.8930,   0.0000, 100.0000,182
  82.9300,   0.8930,   0.0000, 100.0000,183
  82.9700,   0.8968,   0.0000, 100.0000,184
  83.0400,   0.8933,   0.0000, 100.0000,185
  83.0200,   0.8934,   0.0000, 100.0000,186
  82.8600,   0.8938,   0.0000, 100.0000,187
  82.9600,   0.8955,   0.0000, 100.0000,188
  82.9400,   0.8963,   0.0000, 100.0000,189
  82.9600,   0.8926,   0.0000, 100.0000,190
  82.9500,   0.8918,   0.0000, 100.0000,191
  83.0000,   0.8917,   0.0000, 100.0000,192
  83.0300,   0.8928,   0.0000, 100.0000,193
  83.0200,   0.8940,   0.0000, 100.0000,194
  83.0400,   0.8934,   0.0000, 100.0000,195
  82.9300,   0.8931,   0.0000, 100.0000,196
  82.9900,   0.8925,   0.0000, 100.0000,197
  82.9300,   0.8915,   0.0000, 100.0000,198
  83.0700,   0.8927,   0.0000, 100.0000,199
