acc_test,L_test,Loss_train,acc_train,it
  37.4300,   1.7765,   1.7299,  37.7150,0
  42.4500,   1.7592,   1.7308,  41.7450,1
  49.1700,   1.7461,   1.6020,  49.5175,2
  55.4300,   1.4718,   1.4175,  55.2600,3
  55.0400,   1.6533,   1.5090,  54.7500,4
  60.2000,   1.2820,   1.2344,  60.4400,5
  62.1100,   1.3293,   1.1888,  63.1550,6
  65.7900,   1.1579,   1.0463,  67.0425,7
  67.6700,   1.0424,   0.9620,  68.7100,8
  72.3400,   0.8434,   0.7722,  73.6225,9
  72.9800,   0.8468,   0.7534,  74.9325,10
  74.5400,   0.9107,   0.7953,  76.7225,11
  71.9100,   0.9285,   0.7301,  75.2575,12
  76.9800,   0.6931,   0.5558,  80.4050,13
  77.6500,   0.6758,   0.5193,  81.6325,14
  78.7000,   0.6768,   0.5504,  81.2225,15
  78.7000,   0.6462,   0.4792,  83.3075,16
  81.1900,   0.5588,   0.4114,  85.6025,17
  79.0800,   0.6612,   0.4907,  83.3650,18
  80.8200,   0.5863,   0.4050,  85.8375,19
  82.9300,   0.5066,   0.3317,  88.1575,20
  83.4500,   0.4973,   0.3325,  88.2775,21
  85.2400,   0.4587,   0.2813,  90.4850,22
  84.3800,   0.4659,   0.2774,  90.2475,23
  84.4800,   0.4840,   0.2801,  90.0100,24
  85.9500,   0.4366,   0.2367,  91.7350,25
  86.1800,   0.4143,   0.2191,  92.3900,26
  86.3500,   0.4351,   0.2074,  92.7525,27
  85.8500,   0.4345,   0.2144,  92.5050,28
  86.3800,   0.4156,   0.1733,  93.9600,29
  85.4400,   0.4850,   0.2176,  92.2475,30
  88.0500,   0.3620,   0.1350,  95.5150,31
  86.6000,   0.4289,   0.1792,  93.6975,32
  86.3600,   0.4452,   0.1815,  93.6050,33
  88.6100,   0.3605,   0.1165,  96.1625,34
  88.7500,   0.3599,   0.1052,  96.6225,35
  88.9800,   0.3575,   0.0950,  96.8750,36
  89.3300,   0.3695,   0.0884,  96.9650,37
  87.5300,   0.4495,   0.1431,  95.0525,38
  88.8500,   0.3865,   0.0845,  97.1425,39
  89.3500,   0.3546,   0.0711,  97.7075,40
  88.7400,   0.3883,   0.0805,  97.2800,41
  89.2000,   0.3718,   0.0728,  97.5650,42
  88.6700,   0.4036,   0.0851,  97.0850,43
  89.4200,   0.3775,   0.0568,  98.2375,44
  90.1600,   0.3644,   0.0503,  98.3975,45
  89.2000,   0.4242,   0.0729,  97.5975,46
  90.0100,   0.3791,   0.0509,  98.3525,47
  89.6500,   0.3917,   0.0460,  98.4275,48
  90.0200,   0.3913,   0.0467,  98.4875,49
  89.9900,   0.3832,   0.0400,  98.8150,50
  90.4600,   0.3934,   0.0346,  98.8825,51
  90.4500,   0.3654,   0.0326,  99.0150,52
